dataset,subject_id,relpath,label,split,protocol
ami,000,000_up_ear.jpg,0,test,image_disjoint
ami,000,000_back_ear.jpg,0,train,image_disjoint
ami,000,000_down_ear.jpg,0,train,image_disjoint
ami,000,000_front_ear.jpg,0,train,image_disjoint
ami,000,000_left_ear.jpg,0,train,image_disjoint
ami,000,000_right_ear.jpg,0,train,image_disjoint
ami,000,000_zoom_ear.jpg,0,val,image_disjoint
ami,001,001_up_ear.jpg,1,test,image_disjoint
ami,001,001_down_ear.jpg,1,train,image_disjoint
ami,001,001_front_ear.jpg,1,train,image_disjoint
ami,001,001_left_ear.jpg,1,train,image_disjoint
ami,001,001_right_ear.jpg,1,train,image_disjoint
ami,001,001_zoom_ear.jpg,1,train,image_disjoint
ami,001,001_back_ear.jpg,1,val,image_disjoint
ami,002,002_right_ear.jpg,2,test,image_disjoint
ami,002,002_back_ear.jpg,2,train,image_disjoint
ami,002,002_down_ear.jpg,2,train,image_disjoint
ami,002,002_front_ear.jpg,2,train,image_disjoint
ami,002,002_left_ear.jpg,2,train,image_disjoint
ami,002,002_zoom_ear.jpg,2,train,image_disjoint
ami,002,002_up_ear.jpg,2,val,image_disjoint
ami,003,003_front_ear.jpg,3,test,image_disjoint
ami,003,003_back_ear.jpg,3,train,image_disjoint
ami,003,003_down_ear.jpg,3,train,image_disjoint
ami,003,003_left_ear.jpg,3,train,image_disjoint
ami,003,003_right_ear.jpg,3,train,image_disjoint
ami,003,003_zoom_ear.jpg,3,train,image_disjoint
ami,003,003_up_ear.jpg,3,val,image_disjoint
ami,004,004_front_ear.jpg,4,test,image_disjoint
ami,004,004_back_ear.jpg,4,train,image_disjoint
ami,004,004_down_ear.jpg,4,train,image_disjoint
ami,004,004_left_ear.jpg,4,train,image_disjoint
ami,004,004_up_ear.jpg,4,train,image_disjoint
ami,004,004_zoom_ear.jpg,4,train,image_disjoint
ami,004,004_right_ear.jpg,4,val,image_disjoint
ami,005,005_front_ear.jpg,5,test,image_disjoint
ami,005,005_back_ear.jpg,5,train,image_disjoint
ami,005,005_down_ear.jpg,5,train,image_disjoint
ami,005,005_left_ear.jpg,5,train,image_disjoint
ami,005,005_right_ear.jpg,5,train,image_disjoint
ami,005,005_up_ear.jpg,5,train,image_disjoint
ami,005,005_zoom_ear.jpg,5,val,image_disjoint
ami,007,007_zoom_ear.jpg,6,test,image_disjoint
ami,007,007_back_ear.jpg,6,train,image_disjoint
ami,007,007_down_ear.jpg,6,train,image_disjoint
ami,007,007_front_ear.jpg,6,train,image_disjoint
ami,007,007_right_ear.jpg,6,train,image_disjoint
ami,007,007_up_ear.jpg,6,train,image_disjoint
ami,007,007_left_ear.jpg,6,val,image_disjoint
ami,008,008_back_ear.jpg,7,test,image_disjoint
ami,008,008_down_ear.jpg,7,train,image_disjoint
ami,008,008_front_ear.jpg,7,train,image_disjoint
ami,008,008_left_ear.jpg,7,train,image_disjoint
ami,008,008_right_ear.jpg,7,train,image_disjoint
ami,008,008_up_ear.jpg,7,train,image_disjoint
ami,008,008_zoom_ear.jpg,7,val,image_disjoint
ami,009,009_left_ear.jpg,8,test,image_disjoint
ami,009,009_back_ear.jpg,8,train,image_disjoint
ami,009,009_down_ear.jpg,8,train,image_disjoint
ami,009,009_front_ear.jpg,8,train,image_disjoint
ami,009,009_right_ear.jpg,8,train,image_disjoint
